"Group(N)","Group","Time (months)-xaxis","Probability (%)-yaxis","Time (months)-xaxis Censor","Probability (%)-yaxis Censor"
1,Cohort A,0,100,0,
1,Cohort A,0.2299794661,99.18699187,0.2299794661,
1,Cohort A,0.5256673511,98.37398374,0.5256673511,
1,Cohort A,0.5585215606,97.56097561,0.5585215606,
1,Cohort A,0.6899383984,96.74796748,0.6899383984,
1,Cohort A,0.887063655,95.93495935,0.887063655,
1,Cohort A,1.0841889117,94.308943089,1.0841889117,
1,Cohort A,1.6427104723,94.308943089,1.6427104723,94.308943089
1,Cohort A,1.7084188912,92.668787557,1.7084188912,
1,Cohort A,1.7741273101,91.028632025,1.7741273101,
1,Cohort A,1.9055441478,90.208554259,1.9055441478,
1,Cohort A,2.0369609856,89.388476493,2.0369609856,
1,Cohort A,2.2012320329,88.568398727,2.2012320329,
1,Cohort A,2.3655030801,87.748320961,2.3655030801,
1,Cohort A,2.431211499,86.928243195,2.431211499,
1,Cohort A,3.2197125257,86.108165429,3.2197125257,
1,Cohort A,3.4168377823,85.288087663,3.4168377823,
1,Cohort A,3.4825462012,84.468009897,3.4825462012,
1,Cohort A,3.5154004107,83.647932131,3.5154004107,
1,Cohort A,3.613963039,82.827854366,3.613963039,
1,Cohort A,3.909650924,82.0077766,3.909650924,
1,Cohort A,3.9753593429,81.187698834,3.9753593429,
1,Cohort A,4.2710472279,80.367621068,4.2710472279,
1,Cohort A,4.6981519507,79.547543302,4.6981519507,
1,Cohort A,4.7638603696,78.727465536,4.7638603696,
1,Cohort A,4.8952772074,77.90738777,4.8952772074,
1,Cohort A,5.1252566735,77.087310004,5.1252566735,
1,Cohort A,5.3223819302,76.267232238,5.3223819302,
1,Cohort A,5.9794661191,75.447154472,5.9794661191,
1,Cohort A,6.7022587269,74.627076706,6.7022587269,
1,Cohort A,6.9650924025,73.80699894,6.9650924025,
1,Cohort A,7.1622176591,72.986921174,7.1622176591,
1,Cohort A,7.4579055441,72.166843408,7.4579055441,
1,Cohort A,7.6550308008,71.346765642,7.6550308008,
1,Cohort A,7.8850102669,71.346765642,7.8850102669,71.346765642
1,Cohort A,8.5420944559,70.517152088,8.5420944559,
1,Cohort A,8.6735112936,70.517152088,8.6735112936,70.517152088
1,Cohort A,8.9691991786,69.677662182,8.9691991786,
1,Cohort A,9.5934291581,68.838172276,9.5934291581,
1,Cohort A,9.7577002053,67.99868237,9.7577002053,
1,Cohort A,9.9219712526,67.159192464,9.9219712526,
1,Cohort A,10.0862423,66.319702559,10.0862423,
1,Cohort A,10.217659138,65.480212653,10.217659138,
1,Cohort A,10.283367556,64.640722747,10.283367556,
1,Cohort A,10.414784394,63.801232841,10.414784394,
1,Cohort A,10.447638604,63.801232841,10.447638604,63.801232841
1,Cohort A,11.071868583,63.801232841,11.071868583,63.801232841
1,Cohort A,11.334702259,62.939054019,11.334702259,
1,Cohort A,11.794661191,62.939054019,11.794661191,62.939054019
1,Cohort A,11.8275154,62.939054019,11.8275154,62.939054019
1,Cohort A,11.86036961,62.939054019,11.86036961,62.939054019
1,Cohort A,11.926078029,62.039924676,11.926078029,
1,Cohort A,12.024640657,62.039924676,12.024640657,62.039924676
1,Cohort A,12.123203285,62.039924676,12.123203285,62.039924676
1,Cohort A,12.188911704,61.113955651,12.188911704,
1,Cohort A,12.287474333,61.113955651,12.287474333,61.113955651
1,Cohort A,12.583162218,61.113955651,12.583162218,61.113955651
1,Cohort A,12.583162218,61.113955651,12.583162218,61.113955651
1,Cohort A,12.780287474,61.113955651,12.780287474,61.113955651
1,Cohort A,12.780287474,61.113955651,12.780287474,61.113955651
1,Cohort A,12.845995893,61.113955651,12.845995893,61.113955651
1,Cohort A,12.845995893,61.113955651,12.845995893,61.113955651
